"Name","Location","Type","Namespace"
"FUN_806fbab0","806fbab0","Function","Global"
"FUN_806fbb30","806fbb30","Function","Global"
"FUN_806fbb70","806fbb70","Function","Global"
"FUN_806fbc90","806fbc90","Function","Global"
"FUN_806fbcc4","806fbcc4","Function","Global"
"FUN_806fbcdc","806fbcdc","Function","Global"
"FUN_806fbe14","806fbe14","Function","Global"
"FUN_806fbe30","806fbe30","Function","Global"
"switchD","806fbec0","Instruction Label","switchD_806fbec0"
"caseD_1","806fbec4","Instruction Label","switchD_806fbec0"
"caseD_2","806fbf68","Instruction Label","switchD_806fbec0"
"caseD_3","806fbf90","Instruction Label","switchD_806fbec0"
"caseD_4","806fc064","Instruction Label","switchD_806fbec0"
"caseD_5","806fc140","Instruction Label","switchD_806fbec0"
"caseD_6","806fc1fc","Instruction Label","switchD_806fbec0"
"caseD_7","806fc278","Instruction Label","switchD_806fbec0"
"caseD_8","806fc2c4","Instruction Label","switchD_806fbec0"
"caseD_3a","806fc2c4","Instruction Label","switchD_806fbec0"
"caseD_a","806fc2ec","Instruction Label","switchD_806fbec0"
"caseD_b","806fc368","Instruction Label","switchD_806fbec0"
"caseD_c","806fc3dc","Instruction Label","switchD_806fbec0"
"caseD_d","806fc44c","Instruction Label","switchD_806fbec0"
"caseD_e","806fc4d0","Instruction Label","switchD_806fbec0"
"caseD_f","806fc51c","Instruction Label","switchD_806fbec0"
"caseD_10","806fc5a0","Instruction Label","switchD_806fbec0"
"caseD_11","806fc628","Instruction Label","switchD_806fbec0"
"caseD_12","806fc660","Instruction Label","switchD_806fbec0"
"caseD_13","806fc704","Instruction Label","switchD_806fbec0"
"caseD_14","806fc7bc","Instruction Label","switchD_806fbec0"
"caseD_16","806fc860","Instruction Label","switchD_806fbec0"
"caseD_17","806fc8cc","Instruction Label","switchD_806fbec0"
"caseD_19","806fc960","Instruction Label","switchD_806fbec0"
"caseD_1a","806fc9b0","Instruction Label","switchD_806fbec0"
"caseD_1b","806fc9dc","Instruction Label","switchD_806fbec0"
"caseD_1c","806fca2c","Instruction Label","switchD_806fbec0"
"caseD_1d","806fca8c","Instruction Label","switchD_806fbec0"
"caseD_1e","806fcb30","Instruction Label","switchD_806fbec0"
"caseD_1f","806fcb5c","Instruction Label","switchD_806fbec0"
"caseD_0","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_9","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_15","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_18","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_20","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_21","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_22","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_23","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_24","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_25","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_26","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_27","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_28","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_29","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2a","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2b","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2c","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2d","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2e","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_2f","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_30","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_31","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_32","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_33","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_34","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_35","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_36","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_37","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_38","806fcb84","Instruction Label","switchD_806fbec0"
"caseD_39","806fcb84","Instruction Label","switchD_806fbec0"
"FUN_806fcba0","806fcba0","Function","Global"
"FUN_806fcd74","806fcd74","Function","Global"
"FUN_806fcda8","806fcda8","Function","Global"
"ChangeAudioVolume","806fcefc","Function","Global"
"FUN_806fcfa0","806fcfa0","Function","Global"
"FUN_806fd03c","806fd03c","Function","Global"
"FUN_806fd0ac","806fd0ac","Function","Global"
"FUN_806fd55c","806fd55c","Function","Global"
"FUN_806fd624","806fd624","Function","Global"
"FUN_806fd6b0","806fd6b0","Function","Global"
"FUN_806fd770","806fd770","Function","Global"
"FUN_806fd818","806fd818","Function","Global"
"PlayGlobalSound","806fd9e0","Function","Global"
"FUN_806fdae4","806fdae4","Function","Global"
"createStaticInstance","806fdc1c","Function","RKSoundHeapMgr"
"FUN_806fdcec","806fdcec","Function","Global"
"SoundHeapMgr","806fde08","Function","EGG::SoundHeapMgr"
"FUN_806fdeac","806fdeac","Function","Global"
"FUN_806fdf18","806fdf18","Function","Global"
"SomethingSound_createInstance","806fdffc","Function","Global"
"FUN_806fe044","806fe044","Function","Global"
"FUN_806fe084","806fe084","Function","Global"
"FUN_806fe0a0","806fe0a0","Function","Global"
"saveState","806fe0e0","Function","EGG::SoundHeapMgr"
"loadState","806fe1b4","Function","EGG::SoundHeapMgr"
"getCurrentLevel","806fe240","Function","EGG::SoundHeapMgr"
"FUN_806fe2b8","806fe2b8","Function","Global"
"FUN_806fe3e4","806fe3e4","Function","Global"
"FUN_806fe4d0","806fe4d0","Function","Global"
"FUN_806fe584","806fe584","Function","Global"
"FUN_806fe654","806fe654","Function","Global"
"FUN_806fe6f8","806fe6f8","Function","Global"
"FUN_806fe71c","806fe71c","Function","Global"
"FUN_806fe86c","806fe86c","Function","Global"
"FUN_806fe8ac","806fe8ac","Function","Global"
"FUN_806fe944","806fe944","Function","Global"
"FUN_806fe9bc","806fe9bc","Function","Global"
"FUN_806fe9e0","806fe9e0","Function","Global"
"FUN_806fea20","806fea20","Function","Global"
"FUN_806fea60","806fea60","Function","Global"
"initGlobalContext","806feaa0","Function","SndLoadHelper"
"loadFile","806febcc","Function","SndLoadHelper"
"loadSeqSound2","806fec98","Function","SndLoadHelper"
"loadSeqSound","806fee90","Function","SndLoadHelper"
"loadWave","806fefd0","Function","SndLoadHelper"
"waveSoundExists","806ff110","Function","SndLoadHelper"
"seqSoundExists","806ff17c","Function","SndLoadHelper"
"strmSoundExists","806ff204","Function","SndLoadHelper"
"loadSound","806ff28c","Function","SndLoadHelper"
"loadWaveSoundWithRetry","806ff4cc","Function","SndLoadHelper"
"FUN_806ff610","806ff610","Function","Global"
"FUN_806ff638","806ff638","Function","Global"
"FUN_806ff660","806ff660","Function","Global"
"FUN_806ff864","806ff864","Function","Global"
"loadSoundGroup","806ff8a4","Function","Global"
"FUN_806ffab4","806ffab4","Function","Global"
"FUN_806ffbac","806ffbac","Function","Global"
"FUN_806ffcd8","806ffcd8","Function","Global"
"FUN_806ffe40","806ffe40","Function","Global"
