"Name","Location","Type","Namespace"
"__ct","806e2904","Function","GeoObj::ObjVolcanoBall"
"FUN_806e2b7c","806e2b7c","Function","Global"
"__dt","806e2be0","Function","GeoObj::ObjVolcanoBall"
"Setup","806e2c4c","Function","GeoObj::ObjVolcanoBall"
"OnCollision","806e2cf0","Function","GeoObj::ObjVolcanoBall"
"OnItemCollision","806e2d80","Function","GeoObj::ObjVolcanoBall"
"Calc","806e2e08","Function","GeoObj::ObjVolcanoBall"
"enterState0","806e2f24","Function","GeoObj::ObjVolcanoBall"
"calcState0","806e2f34","Function","GeoObj::ObjVolcanoBall"
"enterState1","806e2f38","Function","GeoObj::ObjVolcanoBall"
